BDL204,SENOPATI BDL,105.307,-5.37467
BDL205,PEMBANGUNAN BDL,105.294,-5.38055
BDL208,HAYAM WURUK BDL,105.29,-5.4059
BDL210,AMD BAYUR BDL,105.293,-5.41252
BDL211,ANTASARI 2 BDL,105.272,-5.40844
BDL212,SUGRIWO BDL,105.264,-5.40493
BDL213,SAMRATULANGI BDL,105.255,-5.40099
BDL214,TAMIN BDL,105.247,-5.40371
BDL215,SOETA 2 BDL,105.262,-5.36369
BDL216,SOETA BDL,105.251,-5.35845
BDL217,VILLA MUTIARA BDL,105.249,-5.36333
BDL219,ROMEO BDL,105.269,-5.35933
BDL220,NUNYAI RAJABASA BDL,105.233,-5.37444
BDL221,BERINGIN RAYA BDL,105.212,-5.40314
BDL222,KIMAJA 2 BDL,105.271,-5.38466
BDL223,KIMAJA 3 BDL,105.267,-5.38616
BDL224,TEUKU UMAR 2 BDL,105.26,-5.38298
BDL227,MARTADINATA 2 BDL,105.245,-5.47128
BDL230,WAY LUNIK 2 BDL,105.308,-5.45045
BDL233,JAMIN BDL,105.304,-5.44012
BDL236,MAYJEND RYAKUDU,105.305,-5.40703
BDL239,GANG DURIAN BDL,105.247,-5.39878
BDL241,WAY LAGA 2 BDL,105.319,-5.44022
BDL242,SINGKEP 2 BDL,105.308,-5.39397
BDL245,KURIPAN BDL,105.245,-5.44435
BDL246,SINARMULYA BDL,105.244,-5.46181
BDL247,IMMANUEL BDL,105.266,-5.43076
BDL248,PECOH BDL,105.284,-5.43678
BDL249,BAYUR ATAS BDL,105.3,-5.41429
BDL250,RRI SUKARAME 2 BDL,105.299,-5.381
BDL252,MONGONSIDI 2 BDL,105.255,-5.436
BDL253,POLIM SUKARAME,105.247,-5.3929
BDL254,SUKA MENANTI BDL,105.254,-5.39403
BDL258,RAYA HAJIMENA,105.221,-5.35602
BDL260,RAGOM GAWI BDL,105.218,-5.3713
BDL262,PERUMNAS LANGKAPURA 2,105.199,-5.39741
BDL264,KUA SUKARAME BDL,105.298,-5.36575
BDL265,PANGERAN EMIR 2,105.246,-5.42457
BDL280,WAY GOBAK,105.297,-5.43125
